COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,SEP2021,46763.42
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,SEP2022,18321.607
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,YTD2021,436061.923
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,YTD2022,402727.05
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,2020,1176481.129
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,2021,1192912.836
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,3Q2022,233787.998
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,SEP2021,100348.069
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,SEP2022,14676.597
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,YTD2021,877652.228
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,YTD2022,848703.461
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,2020,34187.21
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,2021,35197.951
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,3Q2022,8001.471
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,SEP2021,2988.19
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,SEP2022,1507.289
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,YTD2021,26103.746
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,YTD2022,25439.63
OECDTOT,BALANCE,TOTPRODS,BUNKERS,2020,71478.954
OECDTOT,BALANCE,TOTPRODS,BUNKERS,2021,78025.307
OECDTOT,BALANCE,TOTPRODS,BUNKERS,3Q2022,15448.38
OECDTOT,BALANCE,TOTPRODS,BUNKERS,SEP2021,6507.783
OECDTOT,BALANCE,TOTPRODS,BUNKERS,SEP2022,926.254
OECDTOT,BALANCE,TOTPRODS,BUNKERS,YTD2021,57298.48
OECDTOT,BALANCE,TOTPRODS,BUNKERS,YTD2022,56373.948
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2020,232307.669
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2021,209093.72
OECDTOT,BALANCE,TOTPRODS,CSNATTER,1Q2022,202405.798
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2Q2022,199128.035
OECDTOT,BALANCE,TOTPRODS,CSNATTER,3Q2022,199634.986
OECDTOT,BALANCE,TOTPRODS,CSNATTER,4Q2021,205165.493
OECDTOT,BALANCE,TOTPRODS,CSNATTER,SEP2021,209855.459
OECDTOT,BALANCE,TOTPRODS,CSNATTER,SEP2022,17074.681
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,2020,1706626.828
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,2021,1806715.039
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,3Q2022,336535.957
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,SEP2021,154301.659
